area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,18-May,"Madou Dist., Tainan City",3 BHK,1286,1,1,1768
Plot  Area,Ready To Move,"Jiali Dist., Tainan City",4 Bedroom,2990,2,2,5148
Super built-up  Area,Ready To Move,"Xigang Dist., Tainan City",2 BHK,1150,1,2,2340
Super built-up  Area,Ready To Move,"Qigu Dist., Tainan City",2 BHK,1310,1,2,2886
Super built-up  Area,Ready To Move,"Jiangjun Dist., Tainan City",2 BHK,1352,1,2,1872
Super built-up  Area,Ready To Move,"Xuejia Dist., Tainan City",2 BHK,1307,1,1,1300
Plot  Area,18-Aug,"Beimen Dist., Tainan City",4 Bedroom,1500,2,1,2325.7
Plot  Area,Ready To Move,"Xinying Dist., Tainan City",3 Bedroom,1500,2,1,2340
Super built-up  Area,18-Nov,"Houbi Dist., Tainan City",2 BHK,1079 - 1183,1,0,1455.35
Built-up  Area,Ready To Move,"Baihe Dist., Tainan City",3 Bedroom,1600,2,0,1796.6
Super built-up  Area,Ready To Move,"Dongshan Dist., Tainan City",4 BHK,2800 - 2870,2,0,6266
Super built-up  Area,21-Mar,"Liujia Dist., Tainan City",1 BHK,682,1,1,941.98
Built-up  Area,Ready To Move,"Xiaying Dist., Tainan City",4 Bedroom,2500,2,1,10920
Super built-up  Area,Ready To Move,"Liuying Dist., Tainan City",3 BHK,1650,2,2,2223
Super built-up  Area,18-Apr,"Yanshui Dist., Tainan City",3 BHK,1850,2,2,3120
Plot  Area,Ready To Move,"Shanhua Dist., Tainan City",4 Bedroom,2000,2,1,2210
Super built-up  Area,18-May,"Danei Dist., Tainan City",2 BHK,982,1,1,650
Built-up  Area,Ready To Move,"Shanshang Dist., Tainan City",2 BHK,2015,2,0,8450
Super built-up  Area,Ready To Move,"Xinshi Dist., Tainan City",3 BHK,1702,2,2,2990
Super built-up  Area,Ready To Move,"Anding Dist., Tainan City",2 BHK,1250,1,2,2054
Super built-up  Area,Ready To Move,"Xinxing Dist., Kaohsiung City",2 BHK,1240,1,2,1054.04
Plot  Area,Ready To Move,"Qianjin Dist., Kaohsiung City",2 Bedroom,1050,1,1,2860
Super built-up  Area,19-Mar,"Lingya Dist., Kaohsiung City",2 BHK,1023,1,1,1367.34
Super built-up  Area,Ready To Move,"Yancheng Dist., Kaohsiung City",2 BHK,1541,1,1,4706
Super built-up  Area,Ready To Move,"Gushan Dist., Kaohsiung City",2 BHK,1275,1,1,2730
Super built-up  Area,Ready To Move,"Qijin Dist., Kaohsiung City",2 BHK,1230 - 1290,1,0,1851.07
Super built-up  Area,Ready To Move,"Qianzhen Dist., Kaohsiung City",3 BHK,1580,2,3,3250
Super built-up  Area,Ready To Move,"Sanmin Dist., Kaohsiung City",2 BHK,1343,1,2,1950
Super built-up  Area,18-Jun,"Nanzi Dist., Kaohsiung City",3 BHK,1365,2,1,1373.06
Super built-up  Area,Ready To Move,"Xiaogang Dist., Kaohsiung City",2 BHK,1047,1,1,1872
Built-up  Area,Ready To Move,"Zuoying Dist., Kaohsiung City",2 BHK,1187,1,2,1092
Plot  Area,Ready To Move,"Renwu Dist., Kaohsiung City",4 Bedroom,1050,2,0,3822
Plot  Area,18-Feb,"Dashe Dist., Kaohsiung City",1 Bedroom,560,1,0,2340
Built-up  Area,Ready To Move,"Dongsha Islands, Nanhai Islands",3 Bedroom,1000,1,1,3120
Plot  Area,Ready To Move,"Nansha Islands, Nanhai Islands",5 Bedroom,1200,2,,6760
Super built-up  Area,Ready To Move,"Gangshan Dist., Kaohsiung City",2 BHK,1075,1,2,1170
Super built-up  Area,21-May,"Luzhu Dist., Kaohsiung City",3 BHK,2048,2,2,5356
Super built-up  Area,Ready To Move,"Alian Dist., Kaohsiung City",2 BHK,1090,1,1,1482
Super built-up  Area,Ready To Move,"Tianliao Dist., Kaohsiung City",3 BHK,1119,1,1,1261
Super built-up  Area,Ready To Move,"Yanchao Dist., Kaohsiung City",3 BHK,1355,1,3,1514.5
Super built-up  Area,Ready To Move,"Qiaotou Dist., Kaohsiung City",3 BHK,1445,1,2,2253.94
Plot  Area,Ready To Move,"Ziguan Dist., Kaohsiung City",6 Bedroom,1314,2,1,3120
Super built-up  Area,19-Jan,"Mituo Dist., Kaohsiung City",4 BHK,6500,2,3,36400
Super built-up  Area,Ready To Move,"Hunei Dist., Kaohsiung City",2 BHK,943 - 1220,1,0,1005.29
Super built-up  Area,Ready To Move,"Fengshan Dist., Kaohsiung City",3 BHK,1787,2,2,2782
Plot  Area,Ready To Move,"Daliao Dist., Kaohsiung City",4 Bedroom,3600,2,,8580
Plot  Area,Ready To Move,"Linyuan Dist., Kaohsiung City",6 Bedroom,1200,2,1,2600
Built-up  Area,18-Dec,"Niaosong Dist., Kaohsiung City",2 BHK,1020,1,1,765.7
Super built-up  Area,18-Jul,"Dashu Dist., Kaohsiung City",3 BHK,1797,2,1,2470
Super built-up  Area,Ready To Move,"Qishan Dist., Kaohsiung City",2 BHK,1205,1,2,1508
Super built-up  Area,18-Dec,"Meinong Dist., Kaohsiung City",2 BHK,1095,1,2,1452.1
Built-up  Area,Ready To Move,"Liugui Dist., Kaohsiung City",3 BHK,1560,1,2,2548
Super built-up  Area,Ready To Move,"Neimen Dist., Kaohsiung City",2 BHK,1200,1,1,1768
Plot  Area,Ready To Move,"Shanlin Dist., Kaohsiung City",2 Bedroom,1200,1,1,5200
Super built-up  Area,Ready To Move,"Jiaxian Dist., Kaohsiung City",3 BHK,1450,2,2,1690
Super built-up  Area,18-Mar,"Taoyuan Dist., Kaohsiung City",3 BHK,1496,1,1,18668
Super built-up  Area,Ready To Move,"Namaxia Dist., Kaohsiung City",3 BHK,1935,2,2,3172
Super built-up  Area,Ready To Move,"Maolin Dist., Kaohsiung City",2 BHK,1016,1,1,1170
Super built-up  Area,19-Dec,"Qieding Dist., Kaohsiung City",3 BHK,1816,2,1,3094
Super built-up  Area,Ready To Move,"Magong City, Penghu County",3 BHK,1680,2,2,3250
Super built-up  Area,19-Dec,"Xiyu Township, Penghu County",4 BHK,2041 - 2090,2,0,2389.79
Plot  Area,Ready To Move,"Qimei Township, Penghu County",4 Bedroom,3000,2,2,4160
Super built-up  Area,Ready To Move,"Baisha Township, Penghu County",2 BHK,980,1,1,2236
Plot  Area,Ready To Move,"Huxi Township, Penghu County",4 Bedroom,1200,2,3,5460
Super built-up  Area,Ready To Move,"Jinsha Township, Kinmen County",2 BHK,1250,1,2,1560
Super built-up  Area,Ready To Move,"Jinhu Township, Kinmen County",2 BHK,1424,1,3,2080
Built-up  Area,Ready To Move,"Jinning Township, Kinmen County",2 BHK,1297,1,1,1297.4
Plot  Area,18-Dec,"Jincheng Township, Kinmen County",3 Bedroom,1300,2,1,4420
Super built-up  Area,Ready To Move,"Lieyu Township, Kinmen County",2 BHK,1290,1,1,2337.4
Super built-up  Area,Ready To Move,"Wuqiu Township, Kinmen County",3 BHK,1720,1,1,3380
Super built-up  Area,Ready To Move,"Pingtung City, Pingtung County",7 BHK,1200,3,2,5174
Plot  Area,Ready To Move,"Sandimen Township, Pingtung County",3 Bedroom,2320,1,0,4160
Super built-up  Area,Ready To Move,"Wutai Township, Pingtung County",3 BHK,1237,2,2,2028
Super built-up  Area,Ready To Move,"Majia Township, Pingtung County",3 BHK,1720,2,3,2573.22
Built-up  Area,Ready To Move,"Jiuru Township, Pingtung County",2 BHK,1224,1,2,1170
Super built-up  Area,Ready To Move,"Ligang Township, Pingtung County",3 BHK,1780,2,2,2782
Plot  Area,Ready To Move,"Gaoshu Township, Pingtung County",4 Bedroom,4700,2,3,20800
Super built-up  Area,Ready To Move,"Yanpu Township, Pingtung County",3 BHK,1800,2,2,2418
Super built-up  Area,Ready To Move,"Changzhi Township, Pingtung County",2 BHK,1139,1,2,1469
Plot  Area,18-May,"Linluo Township, Pingtung County",1 Bedroom,588,1,0,2293.2
Super built-up  Area,22-Dec,"Zhutian Township, Pingtung County",2 BHK,700,1,1,910
Plot  Area,Ready To Move,"Neipu Township, Pingtung County",1 Bedroom,1150,1,0,1352
Super built-up  Area,18-Aug,"Wandan Township, Pingtung County",3 BHK,1330,1,2,1347.58
Super built-up  Area,18-Dec,"Chaozhou Township, Pingtung County",4 BHK,2732,2,3,5044
Super built-up  Area,Ready To Move,"Taiwu Township, Pingtung County",2 BHK,965,1,1,988
Super built-up  Area,Ready To Move,"Laiyi Township, Pingtung County",3 BHK,1600,2,2,2470
Super built-up  Area,Ready To Move,"Wanluan Township, Pingtung County",2 BHK,1464,1,2,1456
Super built-up  Area,Ready To Move,"Kanding Township, Pingtung County",3 BHK,3100,2,,10400
Super built-up  Area,Ready To Move,"Xinpi Township, Pingtung County",3 BHK,1075,1,1,1170
Plot  Area,Ready To Move,"Nanzhou Township, Pingtung County",2 Bedroom,1840,1,0,2470
Super built-up  Area,Ready To Move,"Linbian Township, Pingtung County",3 BHK,1223,2,2,1017.64
Super built-up  Area,18-Dec,"Donggang Township, Pingtung County",2 BHK,1170,1,2,1144
Super built-up  Area,18-Apr,"Liuqiu Township, Pingtung County",4 BHK,3630,2,1,5382
Super built-up  Area,Ready To Move,"Jiadong Township, Pingtung County",2 BHK,950,1,2,910
Super built-up  Area,Ready To Move,"Xinyuan Township, Pingtung County",3 BHK,5400,2,2,10400
Super built-up  Area,Ready To Move,"Fangliao Township, Pingtung County",2 BHK,865,1,1,1040
Plot  Area,Ready To Move,"Fangshan Township, Pingtung County",4 Bedroom,2400,2,2,2314
Built-up  Area,Ready To Move,"Chunri Township, Pingtung County",2 BHK,1169,1,2,1950
Built-up  Area,Ready To Move,"Shizi Township, Pingtung County",2 BHK,1206,1,,1040
Plot  Area,Ready To Move,"Checheng Township, Pingtung County",4 Bedroom,10961,2,1,2080
Super built-up  Area,Ready To Move,"Mudan Township, Pingtung County",3 BHK,1683,2,1,2860
Super built-up  Area,18-May,"Hengchun Township, Pingtung County",3 BHK,1250,1,2,1144
Super built-up  Area,Ready To Move,"Manzhou Township, Pingtung County",4 BHK,3150,2,3,5668
Plot  Area,Ready To Move,"Taitung City, Taitung County",4 Bedroom,1200,1,1,3640
Carpet  Area,18-Dec,"Ludao Township, Taitung County",3 BHK,1234.6,2,1,2704
Super built-up  Area,21-Jun,"Lanyu Township, Taitung County",1 BHK,492,1,1,1040
Built-up  Area,Ready To Move,"Yanping Township, Taitung County",2 BHK,600,1,0,702
Super built-up  Area,Ready To Move,"Beinan Township, Taitung County",3 BHK,1902,2,2,2314
Plot  Area,18-May,"Luye Township, Taitung County",6 Bedroom,1200,2,,3250
Super built-up  Area,18-Nov,"Guanshan Township, Taitung County",3 BHK,1639,2,1,2025.14
Super built-up  Area,Ready To Move,"Haiduan Township, Taitung County",2 BHK,1214,1,3,1742
Built-up  Area,Ready To Move,"Chishang Township, Taitung County",2 BHK,565,1,1,390
Plot  Area,Ready To Move,"Donghe Township, Taitung County",5 Bedroom,2520,2,1,9828
Super built-up  Area,18-Dec,"Chenggong Township, Taitung County",2 BHK,1386,1,2,2210
Super built-up  Area,Ready To Move,"Changbin Township, Taitung County",3 BHK,1535,2,3,1560
Super built-up  Area,Ready To Move,"Taimali Township, Taitung County",3 BHK,1720,2,,4550
Super built-up  Area,Ready To Move,"Jinfeng Township, Taitung County",3 BHK,1370,1,2,1424.54
Built-up  Area,18-Mar,"Dawu Township, Taitung County",3 BHK,1655,2,3,2340
Built-up  Area,Ready To Move,"Daren Township, Taitung County",2 BHK,1200,1,2,1352
Super built-up  Area,Ready To Move,"Hualien City, Hualien County",3 BHK,1610,2,3,1768
Plot  Area,Ready To Move,"Xincheng Township, Hualien County",4 Bedroom,2200,2,2,3380
Plot  Area,Ready To Move,"Xiulin Township, Hualien County",3 Bedroom,1200,1,0,1716
Plot  Area,Ready To Move,"Shoufeng Township, Hualien County",2 Bedroom,753,2,3,1547
Super built-up  Area,Ready To Move,"Fenglin Township, Hualien County",3 BHK,1655,2,1,2808
Built-up  Area,Ready To Move,"Guangfu Township, Hualien County",3 Bedroom,1700,2,1,6500
Super built-up  Area,Ready To Move,"Fengbin Township, Hualien County",2 BHK,770,1,2,780
Super built-up  Area,18-May,"Ruisui Township, Hualien County",2 BHK,1210,1,1,1794
Super built-up  Area,Ready To Move,"Wanrong Township, Hualien County",2 BHK,965,1,2,965.9
Super built-up  Area,20-Dec,"Yuli Township, Hualien County",2 BHK,700,1,1,1066
Super built-up  Area,Ready To Move,"Zhuoxi Township, Hualien County",3 BHK,1740,2,2,2470
Built-up  Area,18-Dec,"Fuli Township, Hualien County",3 BHK,1310,1,1,983.84
Super built-up  Area,17-Oct,"Toufen City, Miaoli County",3 BHK,1763.25,2,3,2548
Super built-up  Area,Ready To Move,"Yuanlin City, Changhua County",3 BHK,1900,2,3,3900
Plot  Area,Ready To Move,"Zhongzheng Dist., Taipei City",6 Bedroom,1000,2,3,3900
Super built-up  Area,Ready To Move,"Datong Dist., Taipei City",3 BHK,1450,1,2,1430
Super built-up  Area,Ready To Move,"Zhongshan Dist., Taipei City",3 BHK,1836,2,2,3848
Super built-up  Area,Ready To Move,"Songshan Dist., Taipei City",2 BHK,1160,1,2,1950
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",2 BHK,1285,1,2,1430
Super built-up  Area,Ready To Move,"Xinyi Dist., Taipei City",3 BHK,2500,2,2,10400
Super built-up  Area,Ready To Move,"Shilin Dist., Taipei City",2 BHK,1194,1,2,1222
Super built-up  Area,Ready To Move,"Beitou Dist., Taipei City",2 BHK,1257,1,1,2730
Plot  Area,Ready To Move,"Neihu Dist., Taipei City",3 Bedroom,1200,2,1,1474.72
Carpet  Area,19-Jun,"Nangang Dist., Taipei City",1 BHK,527 - 639,1,0,735.15
Super built-up  Area,Ready To Move,"Wenshan Dist., Taipei City",3 BHK,1240,1,1,2054
Super built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",2 BHK,1095,1,1,1170
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Keelung City",2 BHK,1145,1,2,1196
Super built-up  Area,Ready To Move,"Zhongshan Dist., Keelung City",3 BHK,1826,2,2,3380
Super built-up  Area,18-Jul,"Anle Dist., Keelung City",2 BHK,1314,1,2,1560
Super built-up  Area,Ready To Move,"Nuannuan Dist., Keelung City",3 BHK,1900,1,1,3120
Super built-up  Area,18-May,"Qidu Dist., Keelung City",2 BHK,1040,1,2,957.84
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",2 BHK,1290,1,1,2210
Plot  Area,Ready To Move,"Jinshan Dist., New Taipei City",4 Bedroom,1200,2,0,3380
Super built-up  Area,Ready To Move,"Nangan Township, Lienchiang County",3 BHK,1325,1,1,1222
Super built-up  Area,19-Oct,"Beigan Township, Lienchiang County",3 BHK,2600,2,2,5070
Super built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",2 BHK,1129,1,1,1144
Super built-up  Area,20-Jan,"Dongyin Township, Lienchiang County",1 BHK,645 - 936,1,0,1099.67
Built-up  Area,Ready To Move,"Banqiao Dist., New Taipei City",2 BHK,1075,1,0,1352
Super built-up  Area,Ready To Move,"Xizhi Dist., New Taipei City",2 BHK,1108,1,1,1248
Built-up  Area,Ready To Move,"Shenkeng Dist., New Taipei City",2 BHK,810,1,1,663
Super built-up  Area,Ready To Move,"Shiding Dist., New Taipei City",2 BHK,1155,1,1,1690
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",6 BHK,3900,2,3,6760
Super built-up  Area,Ready To Move,"Pingxi Dist., New Taipei City",3 BHK,2367,2,3,9750
Super built-up  Area,Ready To Move,"Shuangxi Dist., New Taipei City",3 BHK,1550,1,2,2548
Super built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",2 BHK,1100,1,2,988
Super built-up  Area,Ready To Move,"Xindian Dist., New Taipei City",3 BHK,1452,2,3,1409.2
Super built-up  Area,Ready To Move,"Pinglin Dist., New Taipei City",2 BHK,1141,1,2,1404
Super built-up  Area,Ready To Move,"Wulai Dist., New Taipei City",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",3 BHK,1500,2,3,1754.74
Super built-up  Area,Ready To Move,"Zhonghe Dist., New Taipei City",1 BHK,456,1,1,390
Plot  Area,Ready To Move,"Tucheng Dist., New Taipei City",4 Bedroom,1200,2,1,3250
Super built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",4 BHK,3122,2,2,6370
Built-up  Area,Ready To Move,"Shulin Dist., New Taipei City",2 BHK,760,1,2,974.74
Plot  Area,Ready To Move,"Yingge Dist., New Taipei City",6 Bedroom,2400,2,0,12480
Built-up  Area,Ready To Move,"Sanchong Dist., New Taipei City",2 BHK,800,1,2,832
Super built-up  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",2 BHK,1180,1,1,1851.72
Carpet  Area,Ready To Move,"Taishan Dist., New Taipei City",2 BHK,775,1,2,767
Super built-up  Area,Ready To Move,"Linkou Dist., New Taipei City",2 BHK,1145,1,2,1287
Super built-up  Area,Ready To Move,"Luzhou Dist., New Taipei City",2 BHK,1060,1,1,1105
Super built-up  Area,Ready To Move,"Wugu Dist., New Taipei City",4 BHK,3900,2,,10790
Super built-up  Area,19-Sep,"Bali Dist., New Taipei City",3 BHK,1420,1,1,1950
Super built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",4 BHK,2439,2,3,4940
Plot  Area,Ready To Move,"Sanzhi Dist., New Taipei City",4 Bedroom,1200,2,2,7800
Super built-up  Area,19-Dec,"Shimen Dist., New Taipei City",2 BHK,1111,1,1,1285.18
Built-up  Area,Ready To Move,"Yilan City, Yilan County",2 Bedroom,984,1,2,3250
Super built-up  Area,Ready To Move,"Toucheng Township, Yilan County",2 BHK,1200,1,2,1092
Super built-up  Area,18-Oct,"Jiaoxi Township, Yilan County",2 BHK,1247,1,1,1232.14
Super built-up  Area,Ready To Move,"Zhuangwei Township, Yilan County",2 BHK,1050,1,1,2014.22
Super built-up  Area,Ready To Move,"Yuanshan Township, Yilan County",3 BHK,1550,2,1,2210
Super built-up  Area,Ready To Move,"Luodong Township, Yilan County",2 BHK,1270,1,1,2080
Super built-up  Area,18-Apr,"Sanxing Township, Yilan County",2 BHK,1012,1,1,1690
Super built-up  Area,Ready To Move,"Datong Township, Yilan County",2 BHK,970,1,2,884
Super built-up  Area,18-Feb,"Wujie Township, Yilan County",2 BHK,933,1,1,1430
Plot  Area,18-Aug,"Dongshan Township, Yilan County",3 Bedroom,1200,2,2,1979.38
Super built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",3 BHK,1719,2,2,2860
Super built-up  Area,19-Dec,"East Dist., Hsinchu City",2 BHK,1350,1,1,2288
Built-up  Area,Ready To Move,"North Dist., Hsinchu City",3 BHK,1250,1,2,1222
Built-up  Area,Ready To Move,"Xiangshan Dist., Hsinchu City",8 Bedroom,1700,2,2,1300
Plot  Area,Ready To Move,"Zhubei City, Hsinchu County",9 Bedroom,4320,3,2,21346
Built-up  Area,Ready To Move,"Hukou Township, Hsinchu County",2 BHK,1200,1,1,1950
Built-up  Area,Ready To Move,"Xinfeng Township, Hsinchu County",2 BHK,1030,1,2,1144
Super built-up  Area,Ready To Move,"Xinpu Township, Hsinchu County",3 BHK,1420,2,3,1820
Plot  Area,Ready To Move,"Guanxi Township, Hsinchu County",5 Bedroom,9600,2,1,46800
Super built-up  Area,19-Jul,"Qionglin Township, Hsinchu County",3 BHK,1703,2,2,3276
Super built-up  Area,Ready To Move,"Baoshan Township, Hsinchu County",2 BHK,1210,1,1,2080
Super built-up  Area,Ready To Move,"Zhudong Township, Hsinchu County",2 BHK,1210,1,1,1300
Plot  Area,18-Aug,"Wufeng Township, Hsinchu County",4 Bedroom,3000,2,3,6864
Super built-up  Area,Ready To Move,"Hengshan Township, Hsinchu County",3 BHK,1398,2,0,1326
Super built-up  Area,Ready To Move,"Jianshi Township, Hsinchu County",2 BHK,1335,1,3,2860
Super built-up  Area,Ready To Move,"Beipu Township, Hsinchu County",2 BHK,1255,1,1,1360.32
Plot  Area,Ready To Move,"Emei Township, Hsinchu County",4 Bedroom,540,2,2,2210
Super built-up  Area,18-Apr,"Zhongli Dist., Taoyuan City",3 BHK,1213,1,1,945.62
Super built-up  Area,Ready To Move,"Pingzhen Dist., Taoyuan City",2 BHK,1240,1,2,1093.04
Super built-up  Area,Ready To Move,"Longtan Dist., Taoyuan City",2 BHK,1076,1,1,2028
Built-up  Area,Ready To Move,"Yangmei Dist., Taoyuan City City",2 BHK,1320,1,3,2340
Super built-up  Area,19-Mar,"Xinwu Dist., Taoyuan City",2 BHK,1216,1,1,2080
Super built-up  Area,Ready To Move,"Guanyin Dist., Taoyuan City",2 BHK,1100,1,2,1092
Super built-up  Area,19-Mar,"Taoyuan Dist., Taoyuan City",2 BHK,1183,1,1,2009.8
Super built-up  Area,20-Jan,"Guishan Dist., Taoyuan City",1 BHK,656,1,1,1008.02
Super built-up  Area,19-Dec,"Bade Dist., Taoyuan City",1 BHK,534,1,1,510.9
Super built-up  Area,Ready To Move,"Daxi Dist., Taoyuan City",3 BHK,1285,1,2,1170
Super built-up  Area,Ready To Move,"Fuxing Dist., Taoyuan City",3 BHK,2087.01,2,2,3510
Built-up  Area,18-Dec,"Dayuan Dist., Taoyuan City",2 BHK,1161,1,1,1534
Built-up  Area,Ready To Move,"Luzhu Dist., Taoyuan City",2 BHK,1306,1,3,1690
Super built-up  Area,22-May,"Zhunan Township, Miaoli County",4 BHK,2249.81,2,2,6370
Built-up  Area,Ready To Move,"Sanwan Township, Miaoli County",3 BHK,1504,2,2,1742
Super built-up  Area,18-May,"Nanzhuang Township, Miaoli County",1 BHK,645,1,1,1014
Plot  Area,Ready To Move,"Shitan Township, Miaoli County",2 Bedroom,1230,1,0,1768
Built-up  Area,Ready To Move,"Houlong Township, Miaoli County",2 BHK,1100,1,2,1092
Super built-up  Area,Ready To Move,"Tongxiao Township, Miaoli County",1 BHK,1000,1,0,364
Super built-up  Area,18-Jun,"Yuanli Township, Miaoli County",2 BHK,1260,1,1,1612
Built-up  Area,Ready To Move,"Miaoli City, Miaoli County",3 BHK,1817,2,3,2652
Super built-up  Area,19-Jan,"Zaoqiao Township, Miaoli County",4 BHK,3626,2,3,20410
Super built-up  Area,18-Apr,"Touwu Township, Miaoli County",2 BHK,1180,1,3,3224
Built-up  Area,Ready To Move,"Gongguan Township, Miaoli County",2 BHK,1050,1,2,1430
Plot  Area,Ready To Move,"Dahu Township, Miaoli County",4 Bedroom,2900,2,3,5850
Built-up  Area,Ready To Move,"Tongluo Township, Miaoli County",1 BHK,500,1,1,455
Super built-up  Area,Ready To Move,"Sanyi Township, Miaoli County",3 BHK,1930,2,3,1950
Plot  Area,Ready To Move,"Xihu Township, Miaoli County",4 Bedroom,4560,2,,11180
Super built-up  Area,Ready To Move,"Zhuolan Township, Miaoli County",3 BHK,1505,2,2,1664
Plot  Area,Ready To Move,"Central Dist., Taichung City",4 Bedroom,2400,2,1,19500
Super built-up  Area,Ready To Move,"East Dist., Taichung City",2 BHK,890,1,1,702
Plot  Area,19-Jan,"South Dist., Taichung City",2 Bedroom,1200,1,1,936
Super built-up  Area,18-Dec,"West Dist., Taichung City",2 BHK,849,1,2,660.4
Plot  Area,Ready To Move,"North Dist., Taichung City",3 Bedroom,1555,2,1,2600
Plot  Area,Ready To Move,"Beitun Dist., Taichung City",3 Bedroom,600,1,1,2210
Carpet  Area,Ready To Move,"Xitun Dist., Taichung City",2 BHK,1057,1,2,780
Super built-up  Area,Ready To Move,"Nantun Dist., Taichung City",3 BHK,1680,2,2,3172
Built-up  Area,Ready To Move,"Taiping Dist., Taichung City",2 BHK,799,1,1,910
Built-up  Area,Ready To Move,"Dali Dist., Taichung City",3 BHK,1450,1,1,1950
Super built-up  Area,18-Dec,"Wufeng Dist., Taichung City",3 BHK,1819,2,2,2600
Super built-up  Area,Ready To Move,"Wuri Dist., Taichung City",2 BHK,1135,1,1,1475.24
Super built-up  Area,Ready To Move,"Fengyuan Dist., Taichung City",3 BHK,2020,2,2,4160
Super built-up  Area,Ready To Move,"Houli Dist., Taichung City",5 BHK,2700,2,,4420
Super built-up  Area,18-Jan,"Shigang Dist., Taichung City",3 BHK,1730,2,2,1887.6
Built-up  Area,Ready To Move,"Dongshi Dist., Taichung City",3 BHK,1950,2,2,3250
Super built-up  Area,Ready To Move,"Heping Dist., Taichung City",2 BHK,1077,1,1,895.96
Super built-up  Area,Ready To Move,"Xinshe Dist., Taichung City",3 BHK,1706,2,2,2990
Built-up  Area,Ready To Move,"Tanzi Dist., Taichung City",5 BHK,3000,2,0,7800
Super built-up  Area,Ready To Move,"Daya Dist., Taichung City",2 BHK,1093,1,1,962
Super built-up  Area,Ready To Move,"Shengang Dist., Taichung City",4 BHK,2750,2,,3692
Super built-up  Area,18-Feb,"Dadu Dist., Taichung City",2 BHK,1340,1,1,2626
Super built-up  Area,18-Nov,"Shalu Dist., Taichung City",2 BHK,984,1,1,1534
Super built-up  Area,Ready To Move,"Longjing Dist., Taichung City",2 BHK,1135,1,2,1768
Plot  Area,18-Dec,"Wuqi Dist., Taichung City",4 Bedroom,2400,2,1,8944
Super built-up  Area,Ready To Move,"Qingshui Dist., Taichung City",2 BHK,1155,1,2,1014
Super built-up  Area,Ready To Move,"Dajia Dist., Taichung City",1 BHK,700,1,0,910
Super built-up  Area,Ready To Move,"Waipu Dist., Taichung City",2 BHK,1150,1,1,1092
Super built-up  Area,Ready To Move,"Changhua City, Changhua County",3 BHK,2061,2,2,4550
Super built-up  Area,Ready To Move,"Fenyuan Township, Changhua County",3 BHK,1335,1,3,1909.18
Super built-up  Area,Ready To Move,"Huatan Township, Changhua County",2 BHK,1015,1,1,1560
Built-up  Area,Ready To Move,"Xiushui Township, Changhua County",6 Bedroom,3000,2,2,3900
Super built-up  Area,Ready To Move,"Lukang Township, Changhua County",2 BHK,1108,1,1,1638
Super built-up  Area,Ready To Move,"Fuxing Township, Changhua County",2 BHK,1180,1,1,2730
Super built-up  Area,18-Sep,"Xianxi Township, Changhua County",3 BHK,1445,1,1,2158
Super built-up  Area,Ready To Move,"Hemei Township, Changhua County",2 BHK,1500,1,2,1690
Plot  Area,Ready To Move,"Shengang Township, Changhua County",1 Bedroom,1Grounds,1,1,1248
Super built-up  Area,18-Jun,"Shetou Township, Changhua County",2 BHK,1085,1,1,1209
Super built-up  Area,Ready To Move,"Yongjing Township, Changhua County",2 BHK,1050,1,2,1354.08
Plot  Area,Ready To Move,"Puxin Township, Changhua County",4 Bedroom,2760,2,2,7540
Built-up  Area,Ready To Move,"Xihu Township, Changhua County",3 BHK,1330,1,1,1274
Plot  Area,18-May,"Dacun Township, Changhua County",2 Bedroom,845,1,1,1191.32
Super built-up  Area,18-Mar,"Puyan Township, Changhua County",3 BHK,1762,2,3,2912
Super built-up  Area,Ready To Move,"Tianzhong Township, Changhua County",2 BHK,1303,1,2,2080
Super built-up  Area,Ready To Move,"Beidou Township, Changhua County",3 BHK,1560,1,2,3250
Super built-up  Area,19-Jan,"Tianwei Township, Changhua County",3 BHK,1110,1,2,779.22
Super built-up  Area,18-May,"Pitou Township, Changhua County",3 BHK,1290,2,2,1178.58
Super built-up  Area,Ready To Move,"Xizhou Township, Changhua County",2 BHK,1160 - 1315,1,0,1286.74
Super built-up  Area,18-Mar,"Zhutang Township, Changhua County",3 BHK,1780,2,2,2288
Super built-up  Area,Ready To Move,"Erlin Township, Changhua County",3 BHK,1636,2,2,2158
Built-up  Area,18-May,"Dacheng Township, Changhua County",4 Bedroom,2557,,,4420
Built-up  Area,Ready To Move,"Fangyuan Township, Changhua County",2 BHK,1332,1,2,2626
Super built-up  Area,Ready To Move,"Ershui Township, Changhua County",5 BHK,7500,2,2,39000
